instance_seed,method,depth,qaoa_seed,jobs,nodes,penalty,f_opt,best_expectation,final_expectation,num_evaluations,restarts,maxiter,runtime_qaoa_s,optimizer,selected_objective,selection_rule,approx_ratio_selected,approx_ratio_mean_feasible,p_feasible,p_infeasible,p_optimal,best_feasible_objective,mean_feasible_objective,mean_objective_all,std_objective_all,most_likely_objective,most_likely_feasible,selected_overload,expectation_value,total_runtime_s,greedy_objective,greedy_overload,random_best_objective,random_mean_objective,random_p_optimal,sa_objective,sa_runtime_s
0,xy,1,0,4,2,,0.12117923861642448,130.5484520819385,130.5484520819385,29,1,40,0.33487820000300417,COBYLA,0.12117923861642448,best-feasible-in-distribution,1.0,0.0009282319068813335,0.9999999999999974,2.55351295663786e-15,0.12346592097983523,0.12117923861642448,130.54845208193882,130.54845208193882,238.41502309420534,55.04417098381415,True,0.0,130.5484520819385,0.33982519999699434,21.074974285735056,3.0,0.12117923861642448,358.2587168064682,0.0647,0.12117923861642448,0.15002819999790518
0,soft,1,0,4,2,1e-06,0.12117923861642448,216.99528582046452,216.99528582046452,26,1,40,0.18044100000406615,COBYLA,0.12117923861642448,best-feasible-in-distribution,1.0,0.0010500911893907628,0.13033781236385475,0.8696621876361452,0.005823241693951849,0.12117923861642448,115.39877664027418,216.99528384954988,238.7556049053981,21.074974285735056,True,0.0,216.99528582046392,0.18503479999344563,21.074974285735056,3.0,0.12117923861642448,358.2587168064682,0.0647,0.12117923861642448,0.1502321000007214
1,xy,1,0,4,2,,0.037261751357802575,623.0407333837409,623.0407333837409,27,1,40,0.1853393000055803,COBYLA,0.037261751357802575,best-feasible-in-distribution,1.0,5.980628450315524e-05,0.999999999999998,1.9984014443252818e-15,0.026019319530621653,0.037261751357802575,623.0407333837421,623.0407333837421,850.1222013350454,101.85912079274834,True,0.0,623.0407333837409,0.1901475999984541,75.31314092969255,6.0,0.037261751357802575,894.2387841859564,0.0644,0.037261751357802575,0.15157370000088122
1,soft,1,0,4,2,1e-06,0.037261751357802575,791.0320334361425,791.0320334361425,26,1,40,0.17663390000234358,COBYLA,0.037261751357802575,best-feasible-in-distribution,1.0,5.332718412313265e-05,0.07038422781159599,0.929615772188404,0.0011366721723601902,0.037261751357802575,698.7384008832169,791.0320314411197,587.6787747007182,1070.5947986016408,True,0.0,791.0320334361409,0.18136329999833833,75.31314092969255,6.0,0.037261751357802575,894.2387841859564,0.0644,0.037261751357802575,0.14927539999916917
