instance_seed,method,depth,qaoa_seed,jobs,nodes,penalty,f_opt,best_expectation,final_expectation,num_evaluations,restarts,maxiter,runtime_qaoa_s,optimizer,selected_objective,selection_rule,approx_ratio_selected,approx_ratio_mean_feasible,p_feasible,p_infeasible,p_optimal,best_feasible_objective,mean_feasible_objective,mean_objective_all,std_objective_all,most_likely_objective,most_likely_feasible,selected_overload,expectation_value,total_runtime_s,greedy_objective,greedy_overload,random_best_objective,random_mean_objective,random_p_optimal,sa_objective,sa_runtime_s
0,xy,1,0,6,3,,1.1895544941475333,2901.377835536996,2901.377835536996,27,1,150,5.76458730000013,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0004099964091465395,0.9999999999999962,3.774758283725532e-15,0.002806027541520968,1.1895544941475333,2901.3778355370105,2901.377835537011,2443.271834576512,145.98846985099354,True,0.0,2901.377835536999,13.038660899997922,84.46646805131107,6.0,1.1895544941475333,3090.470813642917,0.0026,1.1895544941475333,1.1138951999964775
0,soft,1,0,6,3,1e-06,1.1895544941475333,4314.272303741902,4314.272303741902,25,1,150,6.935770899995987,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.000568473601011675,0.0026178542079813055,0.9973821457920187,1.3889785872361584e-06,1.1895544941475333,2092.5413106792676,4314.272297858209,3046.0569170141425,2772.982343654373,False,0.0,4314.27230374188,15.028608699998586,84.46646805131107,6.0,1.1895544941475333,3090.470813642917,0.0026,1.1895544941475333,1.284123700002965
0,xy,2,0,6,3,,1.1895544941475333,2878.883454359737,2878.883454359737,36,1,150,14.347503800003324,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.00041319994817646687,0.9999999999999982,1.7763568394002505e-15,0.002099563848919138,1.1895544941475333,2878.8834543597422,2878.8834543597427,2555.70802801844,1034.298540727843,True,0.0,2878.8834543597372,22.423795300004713,,,,,,,
0,soft,2,0,6,3,1e-06,1.1895544941475333,4257.805907206586,4257.805907206586,37,1,150,13.537086299998919,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0003651697351453108,0.003527755200990899,0.9964722447990091,1.1560174934241459e-06,1.1895544941475333,3257.5385626472516,4257.805901526209,3227.0030886294394,3325.1888619809097,False,0.0,4257.805907206558,17.35538280000037,,,,,,,
0,xy,3,0,6,3,,1.1895544941475333,2829.432410690092,2829.432410690092,50,1,150,28.06992999999784,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.00042042159750951824,1.0,0.0,0.0007607252573270318,1.1895544941475333,2829.4324106900863,2829.432410690086,2380.629277048545,1135.8943258361705,True,0.0,2829.432410690096,35.12068200000067,,,,,,,
0,soft,3,0,6,3,1e-06,1.1895544941475333,4334.997138547049,4334.997138547049,53,1,150,30.761383599994588,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0005490404786521177,0.002213646874786876,0.9977863531252131,1.8299425169370653e-06,1.1895544941475333,2166.606180054089,4334.9971324623475,2993.407208170496,8507.262005873681,False,0.0,4334.997138547021,38.6615512999997,,,,,,,
0,xy,1,1,6,3,,1.1895544941475333,2804.515077993763,2804.515077993763,27,1,150,13.46627580000495,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0004241569259090909,0.9999999999999967,3.3306690738754696e-15,0.012091570939505851,1.1895544941475333,2804.5150779937735,2804.5150779937735,2364.1299172312706,1182.5416469299748,True,0.0,2804.515077993764,23.522628099999565,,,,,,,
0,soft,1,1,6,3,1e-06,1.1895544941475333,4811.2167721024725,4811.2167721024725,23,1,150,5.037988900003256,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0004032595308385608,0.0032114635186833865,0.9967885364813166,6.475423182045889e-07,1.1895544941475333,2949.8484305477073,4811.216766258501,3359.4177398972947,4631.707443920085,False,0.0,4811.216772102446,9.56516090000514,,,,,,,
0,xy,2,1,6,3,,1.1895544941475333,2753.4478724368455,2753.4478724368455,34,1,150,13.805763200005458,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.00043202361158004184,1.0,0.0,0.0024326149785355855,1.1895544941475333,2753.447872436811,2753.447872436811,2476.50603738844,2521.4800418301197,True,0.0,2753.4478724368328,16.902044399997976,,,,,,,
0,soft,2,1,6,3,1e-06,1.1895544941475333,4391.103739508605,4391.103739508605,39,1,150,15.924912899994524,COBYLA,1.1895544941475333,best-feasible-in-distribution,1.0,0.0004860573720940813,0.002418151132767999,0.997581848867232,2.5267068298235913e-06,1.1895544941475333,2447.3540829605668,4391.103733825928,3078.970989988238,3667.3086521682526,False,0.0,4391.1037395085805,19.334549300001527,,,,,,,
